@relation metaInstances

@attribute task_id numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute ClassEntropy numeric
@attribute EquivalentNumberOfAtts numeric
@attribute NoiseToSignalRatio numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanMutualInformation numeric
@attribute MinAttributeEntropy numeric
@attribute MinMutualInformation numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxMutualInformation numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3MutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute DecisionStumpErrRate numeric
@attribute J48ErrRate numeric
@attribute JRipErrRate numeric
@attribute kNN_3NErrRate numeric
@attribute NaiveBayesErrRate numeric
@attribute NBTreeErrRate numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute SimpleLogisticErrRate numeric
@attribute DecisionStumpAUC numeric
@attribute J48AUC numeric
@attribute JRipAUC numeric
@attribute kNN_3NAUC numeric
@attribute NaiveBayesAUC numeric
@attribute NBTreeAUC numeric
@attribute RandomTreeDepth3AUC numeric
@attribute REPTreeDepth3AUC numeric
@attribute SimpleLogisticAUC numeric
@attribute DecisionStumpKappa numeric
@attribute J48Kappa numeric
@attribute JRipKappa numeric
@attribute kNN_3NKappa numeric
@attribute NaiveBayesKappa numeric
@attribute NBTreeKappa numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute REPTreeDepth3Kappa numeric
@attribute SimpleLogisticKappa numeric

@data
15,0.655222,0.014306,65.522175,458,34.477825,241,1,2,10,699,16,16,9,1,10,2.288984,0.228898,90,10,3.135704,2.751081,1.656834,1.473254,1.589413,1.715078,-0.804998,0.591162,4.41774,3.643857,12.536686,3.55047,2.83691,2.326332,-0.318564,1.041969,3.207439,2.855379,0.17019,1.229608,3.491212,3.052547,1.552145,1.61369,0.929318,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.075823,0.060086,0.052933,0.044349,0.038627,0.040057,0.077253,0.064378,0.040057,0.909864,0.936957,0.94912,0.971353,0.985535,0.979027,0.91069,0.961867,0.991719,0.836833,0.86675,0.884097,0.901745,0.915913,0.911688,0.827317,0.859037,0.910991
16,0.1,0.0325,10,200,10,200,0,10,65,2000,0,0,64,1,0,0,0,98.461538,1.538462,0.053085,2.152663,-0.050015,-0.004281,-1.819707,0.892344,-0.946375,-0.338774,2.891171,7.691305,0.574705,0.418303,-0.298417,1.143848,-0.153578,-0.104098,0.004483,1.647651,-0.021791,-0.020795,0.332461,2.66148,0.066943,0.059117,3.321928,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.8045,0.178,0.202,0.0435,0.0645,0.183,0.287,0.237,0.0455,0.686312,0.9124,0.922861,0.97589,0.99574,0.966185,0.840556,0.926397,0.995689,0.106111,0.802222,0.775556,0.951667,0.928333,0.796667,0.681111,0.736667,0.949444
18,0.1,0.0035,10,200,10,200,0,10,7,2000,0,0,6,1,0,0,0,85.714286,14.285714,1052.699732,630.907083,-0.539127,0.531036,0.4925,0.291316,-1.039741,-0.062774,6155.200435,3757.634467,0.074759,1.007475,0.65825,0.571545,-0.871141,0.214557,1.686534,0.920872,-0.637857,0.623909,1656.114273,958.166127,-0.115654,0.76689,3.321928,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.8005,0.29,0.3,0.338,0.3045,0.2995,0.3455,0.2885,0.2585,0.759678,0.917828,0.94519,0.820352,0.952219,0.947085,0.811499,0.942549,0.965624,0.110556,0.677778,0.666667,0.624444,0.661667,0.667222,0.616111,0.679444,0.712778
21,0.700231,0.004051,70.023148,1210,3.761574,65,0,4,7,1728,0,0,0,7,0,0,0,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.205741,10.538249,14.666395,1.792481,0.114416,1.584963,0.004486,2,0.262184,1.584963,0.023628,1.792481,0.085076,2,0.230293,4,3,3.5,0.547723,0.299769,0.084491,0.144676,0.07581,0.148148,0.056713,0.147569,0.114005,0.071181,0.718476,0.972419,0.933171,0.995688,0.975082,0.990558,0.919977,0.972977,0.989504,0,0.817742,0.700229,0.826464,0.659315,0.875576,0.669443,0.752848,0.845857
22,0.1,0.024,10,200,10,200,0,10,48,2000,0,0,47,1,0,0,0,97.916667,2.083333,88.636429,40.125453,0.728695,0.790039,0.078554,0.066552,-0.992937,0.005486,508.902572,124.192494,4.352507,1.792805,7.537383,3.75799,-0.464357,0.37867,69.881897,37.878378,0.438219,0.740851,126.832657,65.211345,1.859882,1.253579,3.321928,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.804,0.283,0.317,0.208,0.271,0.3595,0.3725,0.3185,0.18,0.667463,0.884367,0.910024,0.884446,0.959693,0.899503,0.793056,0.908837,0.979963,0.106667,0.685556,0.647778,0.768889,0.698889,0.600556,0.586111,0.646111,0.8
23,0.42702,0.006789,42.701969,629,22.606925,333,3,3,10,1473,0,0,2,8,30,0,0,20,80,17.899864,5.292897,0.28556,0.676811,3.261371,2.358549,-0.946159,0.256101,32.538357,8.227245,1.51728,1.097522,3.261371,2.358549,-0.946159,0.256101,17.899864,5.292897,0.28556,0.676811,32.538357,8.227245,1.51728,1.097522,1.539035,53.274885,41.259372,1.220812,0.028889,0.380672,0.002582,1.866755,0.070906,0.608224,0.009821,1.447989,0.030474,1.757839,0.040139,4,2,3.142857,1.069045,0.57298,0.485404,0.473863,0.555329,0.491514,0.494229,0.520706,0.480652,0.494229,0.55165,0.661113,0.636017,0.580096,0.684628,0.699418,0.602693,0.695486,0.683057,0,0.246977,0.239709,0.143739,0.258141,0.251853,0.195328,0.257242,0.221841
24,0.517971,0.002831,51.797144,4208,48.202856,3916,5,2,23,8124,2480,2480,0,23,21.73913,30.526834,1.327254,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.999068,5.039314,6.279356,1.443167,0.198255,-0,0,3.030433,0.906075,0.828662,0.034185,1.555304,0.174607,2.053355,0.275102,12,1,5.272727,3.180024,0.113245,0,0,0,0.043082,0,0,0.000492,0.000369,0.887049,1,1,1,0.997993,1,1,0.999999,0.999997,0.774576,1,1,1,0.913505,1,1,0.999014,0.99926
26,0.333333,0.000694,33.333333,4320,0.015432,2,1,5,9,12960,0,0,0,9,11.111111,0,0,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.716496,10.630221,9.575886,1.707722,0.161473,1,0.004333,2.321928,0.958775,1.584963,0.007151,1.584963,0.020917,2,0.165571,5,2,3.375,0.916125,0.3375,0.034105,0.036651,0.019136,0.097531,0.032639,0.058565,0.043056,0.074306,0.828272,0.993801,0.991318,0.998986,0.981691,0.996551,0.974556,0.994968,0.988198,0.495851,0.949975,0.946289,0.971816,0.855547,0.952062,0.914264,0.936722,0.890891
27,0.630435,0.0625,63.043478,232,36.956522,136,3,2,23,368,361,1927,7,16,13.043478,98.097826,22.767013,30.434783,69.565217,31.107422,12.710387,0.830681,0.700778,2.94812,0.711684,-0.978609,-0.449549,70.75731,28.089867,2.565868,1.569887,4.962319,1.927064,-0.942271,0.018511,30.521886,10.865663,0.801906,0.95858,45.656798,27.70488,1.869994,1.373324,0.950338,13.887658,25.546045,1.816556,0.06843,0.388239,0.001856,2.648116,0.287757,1.36904,0.028201,1.829858,0.048712,2.223772,0.089495,6,2,3.666667,1.112697,0.184783,0.146739,0.152174,0.201087,0.225543,0.173913,0.190217,0.179348,0.182065,0.79594,0.818062,0.823989,0.791265,0.839345,0.871371,0.836163,0.842688,0.869374,0.612871,0.673158,0.664234,0.564483,0.529571,0.618653,0.588025,0.611566,0.608685
28,0.101779,0.011566,10.177936,572,9.857651,554,0,10,65,5620,0,0,64,1,0,0,0,98.461538,1.538462,4.911243,3.686292,163.110745,5.278957,0,0,-1.646364,-1.302529,11.98968,6.518238,2804.500712,52.976418,0.261032,0.967117,-1.367923,-0.312938,4.565569,4.301747,0,0.492213,9.049155,5.866372,17.847069,3.825802,3.321833,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.802313,0.095196,0.093416,0.014057,0.085765,0.108007,0.153025,0.115302,0.027224,0.681331,0.952939,0.96642,0.992196,0.98602,0.982597,0.914981,0.967973,0.999021,0.108256,0.894225,0.896202,0.984381,0.904707,0.879991,0.829971,0.871884,0.96975
29,0.555072,0.023188,55.507246,383,44.492754,307,5,2,16,690,37,67,6,10,31.25,5.362319,0.606884,37.5,62.5,207.05843,901.509141,49.485106,4.411009,2.223406,3.346513,1.096112,1.142511,1017.385507,5210.102598,212.795662,13.102566,2.355851,4.483833,1.954993,1.399001,18.163448,8.468013,15.200938,2.799448,392.357455,1432.880726,90.980688,7.12883,0.991231,10.987755,13.409691,1.299932,0.090212,0.50104,0.000603,3.567099,0.425709,0.884771,0.005379,0.994897,0.029603,1.441782,0.132723,14,2,4.444444,4.21637,0.144928,0.144928,0.14058,0.185507,0.22029,0.162319,0.227536,0.156522,0.152174,0.845485,0.878667,0.898657,0.810922,0.892658,0.901289,0.783938,0.880402,0.91161,0.711618,0.706585,0.716943,0.623456,0.540343,0.671163,0.537995,0.685954,0.69536
30,0.89768,0.00201,89.767952,4913,0.511602,28,0,5,11,5473,0,0,10,1,0,0,0,90.909091,9.090909,253.327586,840.233619,652.112595,14.706076,0.368642,0.170661,0.689526,-0.834412,1198.405628,4849.37695,4811.60739,67.400767,4.860722,14.264862,3.984641,1.984831,51.661111,91.900389,123.850712,8.92788,459.725105,1423.125887,527.900432,19.728116,0.635463,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.068701,0.029234,0.0296,0.040745,0.086424,0.035812,0.035812,0.032523,0.035629,0.747981,0.94486,0.936806,0.879595,0.942235,0.975892,0.914521,0.977937,0.985668,0.579507,0.844177,0.845126,0.777415,0.587495,0.810075,0.811182,0.824423,0.800493
31,0.7,0.021,70,700,30,300,3,2,21,1000,0,0,7,14,14.285714,0,0,33.333333,66.666667,476.583857,407.047619,0.909755,0.918538,1.155,0.362086,-1.382164,-0.530285,3271.258,2822.736876,4.257898,1.945728,1.407,0.577654,-1.212213,-0.272025,2.973,1.118715,0.905286,1.091996,35.546,12.058814,1.63041,1.905626,0.881291,43.593036,69.927499,1.433893,0.020216,0.228364,0.000964,2.666678,0.094739,0.908978,0.00531,1.532104,0.012753,1.874912,0.026504,10,2,4.153846,2.034951,0.3,0.267,0.301,0.295,0.249,0.268,0.343,0.283,0.24,0.661257,0.68484,0.610002,0.636905,0.789824,0.737195,0.61811,0.716579,0.789448,0,0.326438,0.215328,0.280488,0.375627,0.33925,0.194836,0.243316,0.391481
32,0.104076,0.001547,10.407569,1144,9.597889,1055,0,10,17,10992,0,0,16,1,0,0,0,94.117647,5.882353,50.711046,29.774238,-0.501588,-0.039189,28.845342,16.218571,-1.685692,-1.490912,85.120269,41.7604,3.048264,0.948092,35.906364,26.50641,-1.197425,-0.425012,48.52893,30.241492,-0.784293,0.086444,59.604417,34.227219,-0.261294,0.447276,3.320772,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.79567,0.036754,0.039028,0.006732,0.142831,0.0504,0.041485,0.050036,0.045943,0.713402,0.984923,0.98565,0.996483,0.979523,0.991504,0.976937,0.98855,0.997556,0.111937,0.959155,0.956627,0.992518,0.841271,0.943989,0.953896,0.944393,0.948944
34,0.711111,0.1,71.111111,64,2.222222,2,2,3,9,90,3,3,0,9,22.222222,3.333333,0.37037,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.980308,43.453324,48.551381,1.11788,0.02256,0.440319,0,1.487804,0.054468,0.998931,0.014523,1.139877,0.020798,1.409732,0.02775,4,2,2.875,0.64087,0.322222,0.311111,0.311111,0.333333,0.355556,0.322222,0.422222,0.288889,0.288889,0.436738,0.464436,0.463452,0.399738,0.413578,0.455326,0.434696,0.465443,0.5,-0.060976,-0.041322,-0.041322,-0.046512,-0.090083,-0.060976,-0.139241,0.033058,0
35,0.306011,0.095628,30.601093,112,5.464481,20,1,6,35,366,8,8,1,34,2.857143,2.185792,0.062451,2.857143,97.142857,36.296089,15.324557,-0.721157,0.072942,36.296089,15.324557,-0.721157,0.072942,36.296089,15.324557,-0.721157,0.072942,36.296089,15.324557,-0.721157,0.072942,36.296089,15.324557,-0.721157,0.072942,36.296089,15.324557,-0.721157,0.072942,2.432597,5.416393,1.667171,1.197873,0.449118,0.39381,0.093281,1.970305,0.863127,0.927138,0.275454,1.247561,0.449996,1.527945,0.657053,4,2,3.909091,0.384353,0.497268,0.057377,0.131148,0.062842,0.032787,0.057377,0.112022,0.092896,0.040984,0.775717,0.977011,0.956319,0.961066,0.999263,0.995206,0.943597,0.967751,0.993957,0.339717,0.928051,0.836271,0.921379,0.958966,0.928267,0.859791,0.883008,0.94871
36,0.142857,0.008658,14.285714,330,14.285714,330,0,7,20,2310,0,0,19,1,0,0,0,95,5,24.633144,25.314714,36.391584,3.143448,-12.69086,0,-1.216609,-0.884594,124.913853,72.956532,338.336869,16.886302,0.014334,1.545336,0.038505,0.41976,8.243692,19.571819,0.561861,1.272978,37.051595,43.527458,32.678468,5.31534,2.807355,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.716017,0.035498,0.048918,0.030736,0.197835,0.048918,0.048052,0.048918,0.050216,0.770573,0.984087,0.985407,0.982298,0.970204,0.98735,0.97197,0.986817,0.995511,0.164646,0.958586,0.942929,0.964141,0.769192,0.942929,0.943939,0.942929,0.941414
37,0.651042,0.011719,65.104167,500,34.895833,268,1,2,9,768,0,0,8,1,11.111111,0,0,88.888889,11.111111,44.985791,25.733743,2.742038,0.527868,0.471876,0.331329,-0.527718,-1.838807,120.894531,115.244002,7.146346,2.266334,8.017904,4.498224,0.265733,-0.293626,32.616732,13.856225,1.939777,0.536313,77.125977,28.818415,5.436767,1.717847,0.933134,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.277344,0.28776,0.255208,0.296875,0.235677,0.264323,0.27474,0.270833,0.221354,0.701235,0.729231,0.712015,0.659201,0.817701,0.797067,0.703299,0.756127,0.830903,0.389083,0.371583,0.426411,0.333942,0.4689,0.417765,0.402072,0.37922,0.485206
